,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z
86,208,552663.129515,4183265.99563,552623.547292,4183259.76503,552615.471453,4183311.06979,552655.053676,4183317.30039,32.84,1,37.5
87,264,553133.635423,4183159.77351,552294.501087,4182567.98979,552259.922663,4182617.02112,553099.056999,4183208.80484,12.81,1,37.5
88,320,552471.009112,4183286.90742,552444.788944,4183282.55535,552436.499148,4183332.49937,552462.719316,4183336.85144,22.09,1,37.5
89,341,552570.446932,4183334.15162,552532.091495,4182772.70256,552489.821847,4182775.59021,552528.177284,4183337.03928,14.79,1,37.5
90,350,552460.046218,4183284.90013,552426.477017,4183279.31505,552418.188719,4183329.13201,552451.75792,4183334.71708,37.5,1,37.5
91,381,552906.892766,4183408.33825,552516.324869,4182786.59244,552479.685197,4182809.60872,552870.253093,4183431.35454,13.88,1,37.5
92,384,552469.836489,4183134.05302,552440.432078,4183129.32068,552434.94276,4183163.42858,552464.347172,4183168.16092,14.42,1,37.5
93,393,552667.648225,4183393.03909,552456.464151,4183122.97586,552405.96153,4183162.4679,552617.145604,4183432.53114,14.88,1,37.5
94,410,552441.905288,4183152.43002,552409.386437,4183147.39244,552404.241035,4183180.60733,552436.759886,4183185.6449,16.62,1,37.5
95,419,552571.290184,4183066.47857,552528.963931,4183059.26027,552522.188829,4183098.98774,552564.515082,4183106.20604,28.87,1,37.5
96,420,552448.963158,4183203.0254,552420.79602,4183198.52224,552415.568178,4183231.22228,552443.735316,4183235.72544,16.28,1,37.5
97,424,552482.660147,4183087.79123,552456.447132,4183083.4044,552450.119919,4183121.21197,552476.332933,4183125.5988,18.4,1,37.5
98,425,552452.598049,4183183.00892,552404.369774,4183174.81092,552397.545554,4183214.9573,552445.773828,4183223.15531,15.82,1,37.5
99,437,552609.051857,4183175.90832,552577.126629,4183170.70928,552570.887112,4183209.02367,552602.812339,4183214.22271,32.5,1,37.5
100,439,552590.270097,4182941.71267,552536.778985,4182933.2498,552528.102448,4182988.09146,552581.59356,4182996.55433,25.43,1,37.5
101,449,552482.795592,4182702.77722,552439.942663,4182701.00838,552403.455478,4183584.96529,552446.308407,4183586.73414,15.51,1,37.5
102,524,552897.296065,4183166.86154,552894.033809,4183108.15797,552444.194272,4183133.15631,552447.456528,4183191.85988,17.06,1,37.5
103,540,552627.721169,4183178.62125,552598.586697,4183173.96824,552592.458829,4183212.33747,552621.593301,4183216.99047,15.36,1,37.5
104,587,552452.549661,4183151.00497,552428.512271,4183146.67004,552421.948826,4183183.06468,552445.986216,4183187.3996,16.31,1,37.5
105,591,552440.230829,4183128.06163,552411.629641,4183123.2384,552406.760058,4183152.11446,552435.361246,4183156.93769,16.59,1,37.5
106,604,552452.959057,4183105.70092,552417.747619,4183099.69091,552411.935866,4183133.74082,552447.147304,4183139.75083,10.52,1,37.5
107,615,552865.618062,4183514.1801,552376.3796,4182632.94336,552084.03192,4182795.24677,552573.270381,4183676.48351,19.33,1,37.5
108,624,552479.877606,4183107.96059,552451.28057,4183102.33851,552444.112562,4183138.79905,552472.709598,4183144.42112,17.59,1,37.5
109,639,552502.221378,4183159.39118,552472.629999,4183154.46781,552466.566503,4183190.91181,552496.157882,4183195.83518,14.09,1,37.5
110,648,552595.852899,4183180.56053,552567.905637,4183176.16473,552563.084931,4183206.81343,552591.032193,4183211.20923,30.41,1,37.5
111,649,553031.290411,4183647.84377,552493.674924,4182809.03208,552454.83226,4182833.92732,552992.447747,4183672.73901,17.53,1,37.5
112,666,552656.397938,4183496.49849,552479.567266,4182435.40651,552412.312431,4182446.61451,552589.143103,4183507.70648,27.83,1,37.5
113,668,552666.139861,4183119.20092,552539.655467,4183091.29862,552453.125349,4183483.5498,552579.609743,4183511.4521,20.91,1,37.5
114,670,552471.939801,4183152.08581,552444.577823,4183147.69031,552438.00548,4183188.60312,552465.367458,4183192.99862,14.69,1,37.5
115,685,552630.677187,4183161.18945,552601.396275,4183156.4694,552595.360489,4183193.91248,552624.641401,4183198.63253,16.8,1,37.5
116,706,552559.069223,4182784.83042,552516.334447,4182773.27414,552406.785341,4183178.38325,552449.520116,4183189.93953,18.89,1,37.5
117,708,552502.435938,4183140.25689,552479.109668,4183136.11085,552473.985334,4183164.94114,552497.311604,4183169.08718,4.84,1,37.5
118,725,552456.099286,4183083.1052,552429.497171,4183079.07505,552424.204781,4183114.00893,552450.806896,4183118.03908,13.17,1,37.5
119,732,552470.101258,4183086.554,552436.658629,4183080.28989,552429.597306,4183117.98866,552463.039934,4183124.25277,21.13,1,37.5
120,740,552466.865989,4183103.52973,552439.33759,4183098.88432,552432.582818,4183138.9126,552460.111216,4183143.55801,11.29,1,37.5
121,745,552602.704915,4183108.15638,552564.570277,4183102.2412,552557.492224,4183147.87279,552595.626862,4183153.78797,29.2,1,37.5
122,747,552598.797793,4183134.15769,552560.438001,4183127.75957,552555.476555,4183157.50584,552593.836347,4183163.90395,14.13,1,37.5
123,753,552673.234704,4183120.44774,552644.29972,4183115.46283,552637.898065,4183152.62137,552666.833049,4183157.60627,16.88,1,37.5
124,759,552556.1956,4183500.71067,552401.954153,4182362.37166,552348.147242,4182369.66234,552502.388689,4183508.00134,20.4,1,37.5
125,764,552493.062561,4183089.92129,552462.526753,4183084.71549,552452.90492,4183141.15457,552483.440728,4183146.36037,19.31,1,37.5
126,770,552491.470375,4183189.2,552455.539008,4183183.21962,552446.706891,4183236.2848,552482.638258,4183242.26518,14.51,1,37.5
127,795,552440.5819,4183201.68531,552400.268632,4183195.23853,552395.040147,4183227.93352,552435.353415,4183234.38029,16.2,1,37.5
128,802,552504.251769,4183108.46185,552470.587407,4183102.7266,552463.87737,4183142.11266,552497.541732,4183147.84791,17.82,1,37.5
129,819,552476.880499,4183085.82174,552450.646982,4183080.68893,552443.217444,4183118.66096,552469.450961,4183123.79377,22.76,1,37.5
130,833,552495.5941,4183138.30348,552465.223404,4183133.25069,552455.665416,4183190.70068,552486.036111,4183195.75347,17.28,1,37.5
131,838,552640.126188,4183113.80837,552599.234021,4183106.53189,552589.30156,4183162.35002,552630.193727,4183169.62651,22.25,1,37.5
132,49,552714.571071,4182631.29651,552645.333987,4182619.58073,552633.640489,4182688.68618,552702.877573,4182700.40196,177.66,2,258.49
133,56,553207.797145,4182728.18297,553170.513725,4182690.49538,553122.310121,4182738.18205,553159.593542,4182775.86963,194.91,2,258.49
134,72,553052.811427,4182970.63883,552950.759209,4182954.50663,552934.617627,4183056.61822,553036.669844,4183072.75042,188.85,2,258.49
135,233,552547.784139,4182892.73141,552454.984043,4182877.25582,552444.460883,4182940.35843,552537.26098,4182955.83402,241.23,2,258.49
