id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y
1557025855.421742,2519.769517474245,2009.558492804175,103.63504815101624,114.49695205688477,10,0.1,17.55,552182,4182354,553533,4182497
1557025994.478595,2230.208988193347,1866.8247889923641,98.7466208934784,107.77381587028503,10,0.1,17.55,552182,4182354,553533,4182497
1557026145.815277,2018.0388023372939,1726.1329455258801,48.66003394126892,55.88633894920349,10,0.1,19.28,552182,4182354,553533,4182497
1557026214.404555,1909.8658206565303,1679.9481257544417,45.12383580207825,48.95781683921814,10,0.1,19.28,552182,4182354,553533,4182497
1557026275.353289,2214.0742433816094,1677.2675911074034,67.40603804588318,77.13871908187866,10,0.1,19.28,552182,4182354,553533,4182497
1557026370.537816,2172.993802462358,1686.6920971197658,60.596216917037964,72.57764291763306,10,0.1,19.28,552182,4182354,553533,4182497
1557026462.714113,2191.7406213641407,1849.4308258300289,55.26384496688843,59.14265203475952,10,0.1,19.28,552182,4182354,553533,4182497
1557026547.740212,2431.3556440127068,1977.37878963338,95.31544804573059,102.86042499542236,10,0.1,21.61,552182,4182354,553533,4182497
1557026677.050251,2311.389777809535,1838.8531485731673,58.502739906311035,66.27571296691895,10,0.1,21.61,552182,4182354,553533,4182497
1557026758.472069,2484.7235936933066,1900.9339221155687,74.79831099510193,82.86605191230774,10,0.1,21.61,552182,4182354,553533,4182497
1557026862.519787,2291.9553954037506,1832.4714843068773,54.81844401359558,60.55220103263855,10,0.1,21.61,552182,4182354,553533,4182497
1557026937.859581,2099.498784968081,1822.6232232348027,61.121073961257935,67.15666198730469,10,0.1,21.61,552182,4182354,553533,4182497
1557027022.182811,1809.1146894778499,1570.069851455088,48.61500287055969,54.837053060531616,10,0.1,23.94,552182,4182354,553533,4182497
1557027092.166692,1915.3441257183624,1662.1251849074208,38.179651975631714,45.231744050979614,10,0.1,23.94,552182,4182354,553533,4182497
1557027152.061756,2174.9087707880726,1826.8358131378288,54.264249086380005,63.03401207923889,10,0.1,23.94,552182,4182354,553533,4182497
1557027274.365355,2463.443441633043,2112.7856962536152,85.42396593093872,94.18053793907166,10,0.1,23.94,552182,4182354,553533,4182497
1557027393.290289,1070.0000000004907,804.2859967444628,110.16075301170349,117.05368208885193,10,0.1,23.94,552182,4182354,553533,4182497
