id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y,,,,,,,
1557018832,1804.427469,1666.069113,35.02864099,44.33299112,10,0.1,17.55,552182,4182354,553533,4182497,,,,,,,
1557018731,1903.979221,1680.99393,34.90355396,44.74367094,10,0.1,17.55,552182,4182354,553533,4182497,,,,,,,
1557018887,1856.540137,1685.627121,22.6662221,31.27135015,10,0.1,17.55,552182,4182354,553533,4182497,,,,,,,
1557018789,2009.065637,1817.629174,27.95032597,28.86032081,10,0.1,17.55,552182,4182354,553533,4182497,,,,,,,
1557018927,2060.315215,1868.207215,34.83443499,47.435498,10,0.1,17.55,552182,4182354,553533,4182497,,,,,,,
1557018988,1907.807515,1720.292078,24.87213588,30.94658995,10,0.1,19.28,552182,4182354,553533,4182497,,,,,,,
1557019164,1926.709533,1722.075725,26.85640788,31.79127288,10,0.1,19.28,552182,4182354,553533,4182497,,,,,,,
1557019091,2234.184805,1939.400201,41.30148888,51.97106385,10,0.1,19.28,552182,4182354,553533,4182497,,,,,,,
1557019534,2211.103904,1961.061205,45.21183395,55.582376,10,0.1,19.28,552182,4182354,553533,4182497,,,,,,,
1557019031,2225.615357,2005.357448,36.61940098,47.23659396,10,0.1,19.28,552182,4182354,553533,4182497,,,,,,,
1557019604,1867.171648,1692.777391,38.31477284,46.30359983,10,0.1,21.61,552182,4182354,553533,4182497,,,,,,,
1557019661,2017.293093,1833.999987,26.5651269,36.16640902,10,0.1,21.61,552182,4182354,553533,4182497,,,,,,,
1557019843,2053.391137,1859.906012,19.38600802,29.24264097,10,0.1,21.61,552182,4182354,553533,4182497,,,,,,,
1557019709,2095.241961,1920.976182,30.11046004,40.64817405,10,0.1,21.61,552182,4182354,553533,4182497,,,,,,,
1557019782,2102.530994,1923.459545,40.36912394,50.16119099,10,0.1,21.61,552182,4182354,553533,4182497,,,,,,,
1557020018,1856.344181,1692.726206,20.57317996,25.03679991,10,0.1,23.94,552182,4182354,553533,4182497,,,,,,,
1557020114,2026.991889,1746.75913,16.18996,23.01609612,10,0.1,23.94,552182,4182354,553533,4182497,,,,,,,
1557019882,2051.980123,1872.891024,61.26023698,66.32896304,10,0.1,23.94,552182,4182354,553533,4182497,,,,,,,
1557020057,2095.00568,1895.345471,41.06936622,46.32358003,10,0.1,23.94,552182,4182354,553533,4182497,,,,,,,
1557019965,2135.986864,1926.310432,27.74993181,37.12715888,10,0.1,23.94,552182,4182354,553533,4182497,,,,,,,
1557020218,1721.018052,1562.899343,15.65949702,19.72416902,10,0.1,26.82,552182,4182354,553533,4182497,,,,,,,
1557020286,1864.427965,1649.42793,25.84930992,29.73378897,10,0.1,26.82,552182,4182354,553533,4182497,,,,,,,
1557020245,1984.24152,1820.976359,21.15016389,29.25178099,10,0.1,26.82,552182,4182354,553533,4182497,,,,,,,
1557020145,1943.505578,1830.439645,19.46697712,24.09119606,10,0.1,26.82,552182,4182354,553533,4182497,,,,,,,
1557020176,2089.860493,1889.004154,25.25941396,33.05557704,10,0.1,26.82,552182,4182354,553533,4182497,,,,,,,
1557020370,1737.935075,1585.158833,15.82716393,22.70996094,10,0.1,30.08,552182,4182354,553533,4182497,,,,,,,
1557020438,1864.330995,1598.907011,41.27497411,49.53167796,10,0.1,30.08,552182,4182354,553533,4182497,,,,,,,
1557020528,1926.289078,1723.610026,10.72393513,14.29894805,10,0.1,30.08,552182,4182354,553533,4182497,,,,,,,
1557020400,2012.928227,1858.717072,21.75094104,29.04276991,10,0.1,30.08,552182,4182354,553533,4182497,,,,,,,
1557020327,2075.417807,1878.687908,27.79878688,34.94909596,10,0.1,30.08,552182,4182354,553533,4182497,,,,,,,
1557020629,1700.808295,1524.675,14.51473403,17.23573899,10,0.1,33.05,552182,4182354,553533,4182497,,,,,,,
1557020608,1673.083464,1552.327753,11.54850602,15.43288016,10,0.1,33.05,552182,4182354,553533,4182497,,,,,,,
1557020549,1785.506167,1599.30407,12.10044003,17.53862596,10,0.1,33.05,552182,4182354,553533,4182497,,,,,,,
1557020655,1812.272259,1670.384951,8.812222004,14.16680598,10,0.1,33.05,552182,4182354,553533,4182497,,,,,,,
1557020575,2021.185699,1828.884081,17.99657702,24.27908993,10,0.1,33.05,552182,4182354,553533,4182497,,,,,,,
1557020676,1589.40158,1383.472437,7.077559948,10.05603409,10,0.1,38.14,552182,4182354,553533,4182497,,,,,,,
1557020718,1628.958265,1430.009281,8.354137897,11.44639397,10,0.1,38.14,552182,4182354,553533,4182497,,,,,,,
1557020735,1743.467738,1530.734935,17.01761198,22.18294501,10,0.1,38.14,552182,4182354,553533,4182497,,,,,,,
1557020765,2064.172907,1890.037215,16.35104299,20.85500503,10,0.1,38.14,552182,4182354,553533,4182497,,,,,,,
1557020692,2053.176771,1890.559361,14.042799,19.93479395,10,0.1,38.14,552182,4182354,553533,4182497,,,,,,,
1557020794,1549.234312,1380.37375,6.992739916,8.595406055,10,0.1,43.78,552182,4182354,553533,4182497,,,,,,,
1557020827,1533.130312,1387.995146,4.311707973,6.214709997,10,0.1,43.78,552182,4182354,553533,4182497,,,,,,,
1557020837,1577.300188,1446.922933,6.233937025,8.594907999,10,0.1,43.78,552182,4182354,553533,4182497,,,,,,,
1557020812,1727.468467,1508.104234,6.032684088,10.71430612,10,0.1,43.78,552182,4182354,553533,4182497,,index,altitude,path length,smoothed path length,runtime,runtime with smoothing
1557020850,1988.913368,1799.697832,7.930065155,11.82566714,10,0.1,43.78,552182,4182354,553533,4182497,,1,8.79,2037.300098,1859.471686,54.63452659,72.08463202
1557020930,1795.902486,1496.516209,6.932633162,11.17367005,10,0.1,51.78,552182,4182354,553533,4182497,,2,11.76,1959.668932,1796.905544,46.60699491,59.65835776
1557020901,1729.520104,1516.201849,5.525630951,9.011208057,10,0.1,51.78,552182,4182354,553533,4182497,,3,13.1,1976.493298,1805.939772,57.76584978,68.76376992
1557020961,1730.44097,1595.629429,5.928468227,10.82911515,10,0.1,51.78,552182,4182354,553533,4182497,,4,13.95,2090.776051,1876.528279,55.91823578,68.88819342
1557020947,2206.526874,1993.302144,6.36560297,8.757518053,10,0.1,51.78,552182,4182354,553533,4182497,,5,15.7,1982.434249,1806.650502,37.17611666,48.06381178
1557020875,2815.971626,2572.840177,15.10452104,18.40997601,10,0.1,51.78,552182,4182354,553533,4182497,,6,17.55,1926.865536,1743.705311,31.0766356,39.3287662
1557021066,1583.527857,1381.071361,4.814077854,7.609597921,10,0.1,65.71,552182,4182354,553533,4182497,,7,19.28,2101.084223,1869.637331,34.97225351,43.50557933
