id,path length,runtime,step size,goal bias,altitude,origin,destination,search space,,,,,,,,,,,
1556583539,1710.728797,2.590548038,50,0.1,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583545,1704.447146,1.696176052,50,0.1,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583555,1919.30154,1.288076878,50,0.2,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583559,1706.853105,1.297666073,50,0.2,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583563,1906.929441,2.373819113,50,0.2,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583568,2996.743212,6.705723047,50,0.2,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583579,1883.559565,1.498697996,50,0.2,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583603,2007.244824,2.791867018,50,0.5,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,AVERAGE,goal bias,path length,runtime,,SUPER AVERAGE,goal bias,path length,runtime
1556583608,1801.475445,1.911441088,50,0.5,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0,1760.659783,1.643518782,,,0,1809.401965,1.972482379
1556583613,1617.860258,1.608518839,50,0.5,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.05,1802.495698,2.527654886,,,0.05,1902.487648,2.675272703
