id,path length,runtime,step size,goal bias,altitude,origin,destination,search space
1556583948.274783,1616.1625152362171,2.816228151321411,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583961.976344,1523.2349920819336,9.922661781311035,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583979.376547,1746.6409178076574,7.5790369510650635,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583991.748519,1930.8883061117372,4.786447048187256,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556584001.271584,1878.3594645832181,4.564254999160767,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556584010.780938,1665.3375820220504,5.474147081375122,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556584028.090152,1429.1492032099404,8.303001880645752,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556584040.501267,1847.176629763697,10.502082109451294,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556584055.725703,2215.719019476907,8.368134021759033,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556584068.721077,1496.056913738793,10.347579956054688,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556584084.03105,2007.8861105220967,17.468897104263306,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
