index,x,y,connected
306,266.3188406,298.7101449,FALSE
307,287.7741935,317.8870968,TRUE
308,310.6837209,295.1162791,TRUE
309,315.7721519,308.4177215,FALSE
310,306.734375,317.578125,TRUE
311,291.3,318.6,TRUE
312,323.671875,294.03125,TRUE
313,348.5909091,295.7272727,FALSE
314,336.1805556,307.1423611,FALSE
315,323.22,307.36,FALSE
316,349.6666667,320.6666667,FALSE
317,375.3582888,301.3368984,TRUE
318,350.5,295,FALSE
319,357.2236842,312.3815789,FALSE
320,352.3076923,320.6153846,FALSE
321,379.9791667,302.875,TRUE
322,400.6415094,299.4603774,TRUE
323,391.8045977,318.5517241,FALSE
324,423.143898,299.6757741,TRUE
325,413.754386,317.2280702,FALSE
326,439.797619,299.547619,TRUE
327,457.5,296.5,FALSE
328,460.7007874,312.2204724,TRUE
329,483.1703125,308.46875,TRUE
330,469.2,295.3,FALSE
331,495.6666667,291.1666667,TRUE
332,510.7291382,308.8235294,TRUE
333,537.6505495,305.8153846,TRUE
334,566.8563596,305.5635965,TRUE
335,590.5,306,TRUE
336,16,335,TRUE
337,45,335,TRUE
338,74,335,TRUE
339,103,335,TRUE
340,132,335,TRUE
341,157.8908795,338.3094463,TRUE
342,198.3225806,323.8602151,TRUE
343,187.125,343.972973,TRUE
344,204.3333333,338.6666667,FALSE
345,223.235474,331.8715596,TRUE
346,225.5,320,TRUE
347,205,338.7142857,FALSE
348,246.5,320.3333333,TRUE
349,243.8765432,339.2078189,TRUE
350,288.6835443,324.556962,TRUE
351,273.2227488,338.1137441,FALSE
352,268.5,348,FALSE
353,306.3939394,333.4461279,TRUE
354,343.0825688,327.9082569,FALSE
355,320,326.5,TRUE
356,326.3571429,332.2857143,FALSE
357,337.5,347.5,FALSE
358,352.2467532,324.7272727,FALSE
359,375.029703,344.9009901,FALSE
360,395.3293173,327.4457831,FALSE
361,408,338.5,TRUE
362,379.4222222,344.1555556,FALSE
363,412,320,FALSE
364,423.0685185,338.9277778,TRUE
365,463.9444444,332.2222222,TRUE
366,444.4572127,339.2640587,TRUE
367,476.9812834,334.3489305,TRUE
368,509.9544444,334.6966667,TRUE
369,538.0567227,335.1323529,TRUE
370,566.6941046,334.3359288,TRUE
371,590.1589286,335.4428571,TRUE
372,16,364,TRUE
373,45,364,TRUE
374,74,364,TRUE
375,103,364,TRUE
376,132,364,TRUE
377,161,364,TRUE
378,187.7333333,365.8025641,TRUE
379,217.4211503,368.6141002,TRUE
380,233.2,378.6,TRUE
381,249.0483516,362.4659341,TRUE
382,234.7777778,378.5555556,TRUE
383,268.5,349.5,FALSE
384,277.8053691,366.2774049,TRUE
385,301.2727273,357.7435065,TRUE
386,314.375,358.25,FALSE
387,317.7777778,358.1111111,FALSE
388,319.5,372.5,FALSE
389,302.1463415,376.195122,FALSE
390,320,378,FALSE
391,337.5,349,FALSE
392,321,372.5,FALSE
393,342.3888889,375.7777778,FALSE
394,321.8571429,378.0714286,FALSE
395,375.0952381,349.7619048,FALSE
396,364.8723404,370.6808511,FALSE
397,378.8,349.4,FALSE
398,403.1888112,372.4685315,FALSE
399,428.2142857,352.2678571,TRUE
400,424.3061224,365.5265306,FALSE
401,408.64,366.4,FALSE
402,407.25,375.75,FALSE
403,432.3333333,374.1666667,FALSE
404,412.5,377.5,FALSE
405,446.5565217,361.2369565,TRUE
406,464.2115385,356.8269231,TRUE
407,476.4200627,355.4075235,TRUE
408,493,367.6666667,TRUE
409,471,378,FALSE
410,510.3117783,364.1524249,TRUE
411,538,364,TRUE
412,566.9306723,363.9548319,TRUE
413,590.3213058,363.6804124,TRUE
414,16,393,TRUE
415,45,393,TRUE
416,74,393,TRUE
417,103,393,TRUE
418,132,393,TRUE
419,161,393,TRUE
420,189.8146186,392.7447034,TRUE
421,218.7533632,393.0168161,TRUE
422,235.0555556,382.6296296,TRUE
423,243.1111111,378.7777778,TRUE
