,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z,
50,490,553095.8288,4182336.82,553075.9237,4182316.874,553043.888,4182348.843,553063.7931,4182368.789,11.71,0,39.01,
230,216,553136.1778,4183184.509,553116.5167,4183142.011,552500.2703,4183427.104,552519.9314,4183469.602,11.76,5,31.34,
302,376,553107.965,4183149.119,553074.9713,4183143.516,553067.0218,4183190.325,553100.0155,4183195.929,11.77,6,39.1,
492,28,552590.9522,4183350.457,552563.7905,4183321.733,552340.7799,4183532.615,552367.9416,4183561.339,11.82,12,32.36,
497,59,552566.0296,4183464.766,552470.3438,4183448.8,552463.328,4183490.846,552559.0139,4183506.812,11.87,12,32.36,
494,35,552442.2229,4183482.484,552416.0414,4183478.225,552405.9534,4183540.228,552432.1349,4183544.488,11.96,12,32.36,
571,574,552745.956,4183279.593,552711.9223,4183274.088,552703.9587,4183323.327,552737.9924,4183328.831,11.97,12,32.36,
610,5,552521.3445,4182165.047,552491.1956,4182162.295,552368.1734,4183510.336,552398.3222,4183513.087,12,13,28.2,
507,205,552641.0587,4183524.903,552600.8832,4183518.261,552595.739,4183549.379,552635.9144,4183556.02,12.05,12,32.36,
234,239,552776.3479,4183537.505,552746.924,4183532.28,552740.3387,4183569.367,552769.7626,4183574.592,12.09,5,31.34,
333,211,553322.2202,4182773.919,553307.4932,4182738.493,553241.038,4182766.119,553255.765,4182801.545,12.23,7,46.64,
519,300,552567.2133,4183336.123,552526.7221,4183328.678,552521.3966,4183357.639,552561.8878,4183365.084,12.24,12,32.36,
229,206,553087.33,4183713.912,553060.8659,4183695.026,553041.567,4183722.069,553068.0311,4183740.955,12.25,5,31.34,
259,551,552991.2672,4183600.896,552966.3717,4183597.151,552962.6163,4183622.118,552987.5118,4183625.863,12.27,5,31.34,
611,222,552915.7268,4182148.058,552870.3248,4182127.339,552414.763,4183125.65,552460.1651,4183146.368,12.33,13,28.2,
585,652,552567.3762,4183402.933,552539.7148,4183398.607,552533.7799,4183436.554,552561.4413,4183440.88,12.36,12,32.36,
476,712,552306.4795,4182576.309,552279.2121,4182571.578,552272.9013,4182607.948,552300.1688,4182612.679,12.42,11,43.15,
509,221,552394.373,4183486.866,552354.0845,4183480.066,552345.8558,4183528.818,552386.1443,4183535.618,12.44,12,32.36,
434,186,552525.3463,4182831.866,552487.3696,4182825.682,552483.003,4182852.497,552520.9798,4182858.681,12.45,11,43.15,
532,348,552576.181,4183404.632,552547.6665,4183399.97,552541.4999,4183437.687,552570.0143,4183442.349,12.5,12,32.36,
590,702,552876.7836,4183470.628,552444.2793,4183169.155,552409.8652,4183218.527,552842.3695,4183520,12.52,12,32.36,
268,641,552893.7453,4183580.898,552872.7006,4183577.565,552869.4203,4183598.279,552890.465,4183601.611,12.54,5,31.34,
21,285,553189.8946,4182264.607,553170.2286,4182245.098,553142.6995,4182272.848,553162.3655,4182292.357,12.56,0,39.01,
547,463,552384.599,4183536.196,552345.4644,4183530.123,552341.3302,4183556.765,552380.4648,4183562.838,12.57,12,32.36,
294,209,553139.5689,4183045.008,553093.8141,4183037.229,553086.0732,4183082.759,553131.828,4183090.538,12.61,6,39.1,
350,634,553567.8599,4183142.202,553512.9276,4183100.615,553467.36,4183160.805,553522.2924,4183202.392,12.65,7,46.64,
499,86,552566.105,4183318.605,552529.0402,4183312.364,552524.4344,4183339.719,552561.4992,4183345.959,12.69,12,32.36,
587,684,552642.5329,4183515.675,552602.2495,4183509.412,552597.7442,4183538.388,552638.0276,4183544.651,12.7,12,32.36,
217,57,553004.8769,4183519.785,552980.0828,4183515.873,552976.2181,4183540.366,553001.0122,4183544.278,12.72,5,31.34,
231,231,553472.8042,4183484.498,552600.9591,4183281.947,552571.6616,4183408.054,553443.5066,4183610.605,12.73,5,31.34,
514,265,552731.736,4183277.3,552685.098,4183269.726,552677.0469,4183319.307,552723.6849,4183326.88,12.74,12,32.36,
87,264,553133.6354,4183159.774,552294.5011,4182567.99,552259.9227,4182617.021,553099.057,4183208.805,12.81,1,37.5,
360,763,553547.3311,4183343.391,553528.0259,4183331.391,553516.3225,4183350.219,553535.6277,4183362.219,12.82,7,46.64,
19,227,553142.7575,4182385.089,553118.0853,4182359.873,553067.4229,4182409.444,553092.0951,4182434.659,12.9,0,39.01,
533,356,552399.8737,4183494.052,552374.0358,4183489.403,552366.3381,4183532.188,552392.176,4183536.836,12.91,12,32.36,
643,309,552698.3411,4182653.176,552674.2094,4182648.911,552670.301,4182671.027,552694.4327,4182675.292,12.92,14,49.02,
14,170,553132.2384,4182374.001,553112.1284,4182353.451,553061.5172,4182402.978,553081.6272,4182423.528,12.95,0,39.01,
579,610,552417.132,4183477.895,552382.9613,4183472.24,552372.8009,4183533.636,552406.9716,4183539.291,12.98,12,32.36,
223,117,553286.0512,4183485.506,553240.9451,4183456.991,553200.2697,4183521.332,553245.3758,4183549.847,12.99,5,31.34,
260,573,552855.5215,4183367.804,552825.892,4183362.504,552820.7255,4183391.387,552850.355,4183396.687,13.01,5,31.34,
602,811,552882.185,4183382.56,552551.4721,4183298.691,552542.4909,4183334.105,552873.2038,4183417.974,13.02,12,32.36,
280,758,552887.63,4183368.924,552861.1266,4183364.41,552856.2371,4183393.117,552882.7405,4183397.631,13.04,5,31.34,
24,294,552939.5796,4182182.404,552900.7302,4182143.143,552851.9082,4182191.452,552890.7576,4182230.714,13.09,0,39.01,
244,333,553080.9519,4183400.789,553053.354,4183396.302,553048.7081,4183424.877,553076.306,4183429.364,13.1,5,31.34,
277,742,552880.916,4183360.695,552843.3748,4183354.436,552837.2803,4183390.987,552874.8215,4183397.246,13.11,5,31.34,
213,26,552944.8804,4183383.742,552914.9073,4183379.098,552910.5938,4183406.937,552940.5669,4183411.581,13.12,5,31.34,
214,33,553587.5191,4183366.188,553575.7549,4183280.725,552531.4276,4183424.477,552543.1918,4183509.941,13.14,5,31.34,
250,484,553082.019,4183391.903,553054.3721,4183387.189,553049.4991,4183415.765,553077.146,4183420.48,13.15,5,31.34,
252,489,553032.6516,4183382.915,552892.9008,4183363.311,552887.6303,4183400.884,553027.3812,4183420.487,13.16,5,31.34,
118,725,552456.0993,4183083.105,552429.4972,4183079.075,552424.2048,4183114.009,552450.8069,4183118.039,13.17,1,37.5,
242,315,553070.6797,4183429.046,553068.2617,4183389.329,552623.8967,4183416.383,552626.3147,4183456.099,13.23,5,31.34,
670,76,552459.2932,4182447.491,552433.3557,4182443.48,552427.7371,4182479.819,552453.6747,4182483.829,13.25,15,43.56,
238,288,552911.0856,4183372.914,552884.3066,4183368.252,552879.3169,4183396.919,552906.0959,4183401.58,13.26,5,31.34,
546,461,552551.3156,4183548.305,552515.2852,4183542.365,552509.9212,4183574.903,552545.9516,4183580.843,13.37,12,32.36,
491,27,552542.8609,4183475.453,552512.9619,4183470.456,552508.5349,4183496.949,552538.4339,4183501.946,13.38,12,32.36,
549,468,552650.0295,4183417.522,552624.1697,4183413.196,552617.9009,4183450.667,552643.7607,4183454.993,13.39,12,32.36,
