index,x,y,connected,
400,346,11.5,TRUE,
401,357.5555556,11.33333333,TRUE,
402,357.5555556,11.33333333,TRUE,
403,365.8571429,11.85714286,TRUE,
404,367.9032258,11.58064516,TRUE,
405,371.5,11.5,TRUE,
406,375.5,11.5,TRUE,
407,379.5,11.5,TRUE,
408,383.5,11.5,TRUE,
409,387.3529412,11.38235294,TRUE,
410,391.125,10.625,TRUE,
411,396,10.88461538,TRUE,
412,399.3529412,11.44117647,TRUE,
413,402.9545455,11.18181818,TRUE,
414,408.0769231,11.38461538,TRUE,
415,410.8928571,11.46428571,TRUE,
416,413.5,9,TRUE,
417,413,13.5,TRUE,
418,421.75,12.75,FALSE,
419,421.75,12.75,FALSE,
420,429.7142857,11.14285714,TRUE,
421,431.2608696,11.56521739,TRUE,
422,437,9.5,TRUE,
423,435.1428571,13.85714286,TRUE,
424,439.9090909,11.22727273,TRUE,
425,443.2592593,11.03703704,TRUE,
426,447.7272727,10.5,TRUE,
427,451.6129032,11.51612903,TRUE,
428,455.5,12,TRUE,
429,459.6176471,11.64705882,TRUE,
430,463.5,11.5,TRUE,
431,467.5,11.5,TRUE,
432,471.5,11.5,TRUE,
433,475.5,11.5,TRUE,
434,479.3823529,11.64705882,TRUE,
435,482.7647059,12.64705882,TRUE,
436,488.125,12.75,TRUE,
437,490.8,11.7,TRUE,
438,501.2857143,11,FALSE,
439,501.7777778,11.44444444,FALSE,
440,509.6666667,11,TRUE,
441,510.7142857,11.28571429,TRUE,
442,523.875,10.6875,TRUE,
443,527.8571429,9.785714286,TRUE,
444,531.7857143,11.35714286,TRUE,
445,533.4,11.9,TRUE,
446,545.3333333,12.33333333,TRUE,
447,547.5925926,11.74074074,TRUE,
448,551.76,12,TRUE,
449,555,12.2,TRUE,
450,559.25,12.875,TRUE,
451,564.0526316,11.73684211,TRUE,
452,567.71875,11.34375,TRUE,
453,571.5142857,11.57142857,TRUE,
454,575.1,11.2,TRUE,
455,579.2142857,9.714285714,TRUE,
456,584.2608696,10.86956522,TRUE,
457,587.5,11.5,TRUE,
458,591.5,11.5,TRUE,
459,595.5,11.5,TRUE,
460,598.5,11.5,TRUE,
461,3.5,15.5,TRUE,
462,7.5,15.5,TRUE,
463,11.5,15.5,TRUE,
464,15.5,15.5,TRUE,
465,18.8,15.12,TRUE,
466,23,13.33333333,TRUE,
467,27.8,15.2,TRUE,
468,29.5,13,TRUE,
469,29,16.5,TRUE,
470,33,18,TRUE,
471,36.57142857,15.85714286,TRUE,
472,39.5,15.5,TRUE,
473,43.21428571,14.92857143,TRUE,
474,47.78571429,14.92857143,TRUE,
475,49.94117647,15.47058824,TRUE,
476,57.375,14.125,TRUE,
477,59.83870968,15.22580645,TRUE,
478,63.5,15.5,TRUE,
479,67.5,15.5,TRUE,
480,71.5,15.5,TRUE,
481,75.5,15.5,TRUE,
482,79.5,15.5,TRUE,
483,82.42857143,16,TRUE,
484,90,13.5,TRUE,
485,85,17.5,TRUE,
486,91.77777778,15.72222222,TRUE,
487,95.75,17.125,TRUE,
488,100,16,TRUE,
489,102.6086957,15.91304348,TRUE,
490,106.2,17.2,TRUE,
491,113,15.5,TRUE,
492,113.5,15.5,TRUE,
493,121.5,13,TRUE,
494,124.5,15.09090909,TRUE,
495,127.40625,15.21875,TRUE,
496,131.6470588,15.38235294,TRUE,
497,135.5,15.5,TRUE,
498,139.5,15.5,TRUE,
499,143.5,15.5,TRUE,
500,147.1153846,16.07692308,TRUE,
501,151.8,16.32,TRUE,
502,155.6470588,15.61764706,TRUE,
503,159.5,15.5,TRUE,
504,162.4285714,15.85714286,TRUE,
505,168.1851852,15.59259259,TRUE,
506,171.5,15.5,TRUE,
507,175.3529412,15.61764706,TRUE,
508,179.3076923,16.26923077,TRUE,
509,183.6666667,16.22222222,TRUE,
510,187.6363636,15.72727273,TRUE,
511,191.5,15.5,TRUE,
512,195.5,15.5,TRUE,
513,199.5,15.5,TRUE,
514,203.5,15.5,TRUE,
515,207.3636364,15.27272727,TRUE,
516,211,14.83333333,TRUE,
517,216,14,TRUE,
518,219.8709677,15.29032258,TRUE,
519,223.5,15.5,TRUE,
520,227.5,15.5,TRUE,
521,231.5,15.5,TRUE,
522,235.5,15.5,TRUE,
523,239.5,15.5,TRUE,
524,243.5,15.5,TRUE,
525,247.3529412,15.61764706,TRUE,
526,249.4,15.9,TRUE,
527,257.5,18,TRUE,
528,260.6,15.8,TRUE,
529,262.875,16.125,TRUE,
530,268,16,TRUE,
531,271.4137931,14.93103448,TRUE,
532,275,14.80952381,TRUE,
533,280.1578947,15.10526316,TRUE,
534,283.6470588,15.38235294,TRUE,
535,287.5,15.5,TRUE,
536,291.0333333,15.66666667,TRUE,
537,297.625,16.125,TRUE,
538,293.1666667,16.33333333,TRUE,
539,299.9032258,15.58064516,TRUE,
540,303.5,15.5,TRUE,
541,307.5,15.5,TRUE,
542,311.5,15.5,TRUE,
543,315.5,15.5,TRUE,
544,319.5,15.5,TRUE,
545,323.5,15.5,TRUE,
546,325.6153846,15.69230769,TRUE,
547,334,16,TRUE,
548,336.0689655,15.5862069,TRUE,
549,339.5,15.5,TRUE,
550,343.5,15.5,TRUE,
551,346.75,16,TRUE,
552,351.8,17.2,TRUE,
553,355.8571429,16.57142857,TRUE,
554,359.48,16.32,TRUE,
555,363.7407407,16.18518519,TRUE,
556,367.5714286,15.57142857,TRUE,
557,371.5,15.5,TRUE,
558,375.2727273,15.45454545,TRUE,
559,379.68,15.12,TRUE,
560,383.5,15.5,TRUE,
561,387.3529412,15.61764706,TRUE,
562,390.7777778,16.61111111,TRUE,
563,396.2727273,16.13636364,TRUE,
564,399,15.27586207,TRUE,
565,403.3076923,14.38461538,TRUE,
566,408.2857143,15.28571429,TRUE,
567,411.1875,15.625,TRUE,
568,414.3333333,16.33333333,TRUE,
569,422,13.5,FALSE,
570,420.1666667,16.83333333,TRUE,
571,422,13.5,FALSE,
572,422.7272727,17.36363636,TRUE,
573,427.8571429,17.85714286,TRUE,
574,432.037037,15.74074074,TRUE,
575,435.25,15.67857143,TRUE,
576,439.7931034,15.5862069,TRUE,
577,443.1071429,15.96428571,TRUE,
578,447.8,16.32,TRUE,
579,451.6470588,15.61764706,TRUE,
580,454.7727273,14.72727273,TRUE,
581,460.173913,14.86956522,TRUE,
582,463.4193548,15.09677419,TRUE,
583,467.3461538,14.69230769,TRUE,
584,471.75,15.25,TRUE,
585,475.5,15.5,TRUE,
586,479.5,15.5,TRUE,
